Date,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010
Fungiidae,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxea,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Echinophyllia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectinia,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammacora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Pavona - encrusting,,1,1,1,1,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,2,,2,1,,1,1,,,,,,,,,,,,,,,,,
Hydonophora,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenellia,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
Xenia,1,2,1,2,2,,,,,,,,,,,,,1,1,,1,,,,1,,,,2,,1,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,2,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
