"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","substrate","df","logLik","AICc","delta","weight"
"232",0.321792538503654,0.124760950487817,0.572521185101654,0.0968892819168384,0,0,-0.168642158707782,0.0327281304755565,0.235140919049558,10,-94.849564909466,211.532463152265,3.80092483376222,0.0140729919462243
"163",0.324471402331828,0,0.530245246403965,0,0,0,-0.174607460878235,0,0.220656285967498,7,-98.4672442583252,211.845057622341,4.11351930383825,0.0120366993350593
"171",0.342957088075912,0,0.31967770628054,0,0.0963699018207476,0,-0.173912022802828,0,0.218781111986184,8,-97.3419137469037,211.86415536266,4.13261704415658,0.011922309472118
"233",0.425756864950397,0,0,0,0.11526920026018,0,-0.173791443281759,0.039456464058465,0.245937241342549,8,-97.3557441655769,211.891816200006,4.16027788150313,0.0117585539545117
"245",0.474218126464099,0,0,0.100212015970886,0,-0.0369031096625805,-0.179006923602593,0.0359867519650099,0.233918156308548,9,-96.2736910585729,212.034985422931,4.30344710442779,0.0109462437446748
"240",0.341327656514486,0.116935574206717,0.390115946137659,0.0929715963937263,0.0842116739331073,0,-0.168241425505817,0.0356010351911443,0.236375943994233,11,-93.9440054817165,212.106498358391,4.37496003988781,0.0105617595945172
"192",0.349502334170096,0.126941790739749,0.359470621347544,0.101112164551999,0.0815274567316824,-0.0373293738283918,-0.175975866507332,0,0.211106293316921,11,-93.9908283592396,212.200144113437,4.46860579493404,0.0100786267187502
"185",0.398646966625967,0,0,0,0.112197324769354,0.00794906649667575,-0.174581255820267,0,0.220501076934702,8,-97.6124006200796,212.405129109012,4.67359079050851,0.00909681650185681
"162",0.416027142950013,0.101685214623573,0,0,0,0,-0.177742711887919,0,0.223603822731685,7,-98.7696383636135,212.449845832918,4.71830751441479,0.00889568346721762
"254",0.437322675727946,0.115750453388727,0,0.100321533767386,0.099639233794104,-0.0355836047838645,-0.175594202345627,0.0317070521596366,0.233237415234515,11,-94.1422537269901,212.502994848938,4.77145653043505,0.00866239850100973
"247",0.364942249116835,0,0.581505307277511,0.0992543194953172,0,-0.0396626671473647,-0.175508556397633,0.0431803155908808,0.236831654549944,10,-95.4459160421114,212.725165417556,4.99362709905301,0.00775165495449079
"246",0.454440173165978,0.124529159768675,0,0.106030217338692,0,-0.0364190928314229,-0.177775982403361,0.0262374912287525,0.230562193437825,10,-95.4933596120307,212.820052557395,5.08851423889163,0.00739247649498803
"164",0.308822727469849,0.106047149593125,0.538921194441812,0,0,0,-0.173155491650573,0,0.221639533452731,8,-97.9072466387258,212.994821146304,5.26328282780091,0.00677391020657622
"225",0.447426910367465,0,0,0,0,0,-0.176922058213266,0.0342121418342975,0.244848243400521,7,-99.0828626487766,213.076294403244,5.34475608474105,0.00650350895348883
"255",0.382487016446175,0,0.3907918375345,0.0951448430315879,0.0881702968334356,-0.037435582195798,-0.174650860409351,0.0453921223153397,0.237804769463046,11,-94.4681614184499,213.154810231858,5.42327191335448,0.00625314136534088
"172",0.327915959874104,0.0985910365387551,0.334403236790185,0,0.0930125450765756,0,-0.172725514031777,0,0.219701445885525,9,-96.8527220055546,213.193047316894,5.46150899839111,0.00613472598788621
"177",0.422806240754465,0,0,0,0,0.00900556258149094,-0.177297842206094,0,0.222749743711686,7,-99.2684579083144,213.44748492232,5.71594660381669,0.00540187767488295
"234",0.411690554932553,0.0870523507925618,0,0,0.112674691581999,0,-0.173313976811527,0.0329872600915245,0.242629060216391,9,-96.9813110312696,213.450225368324,5.71868704982117,0.00539448096656476
"235",0.358055451801722,0,0.368204683290707,0,0.097967520863099,0,-0.171221195096825,0.0443889781690827,0.247600627086225,9,-97.008868653498,213.505340612781,5.77380229427797,0.00524785155627391
"227",0.338452615317731,0,0.58157369720792,0,0,0,-0.171868955194673,0.042595747599156,0.248510845364746,8,-98.1652325849322,213.510793038717,5.77925472021357,0.00523356427923694
"248",0.344921129348198,0.124843711750126,0.577430339395433,0.105012020003852,0,-0.039812241036666,-0.174190578101082,0.0333306737913362,0.233124295542861,11,-94.6524405830231,213.523368561004,5.79183024250096,0.00520076011756402
"186",0.386052810528918,0.0960893972620656,0,0,0.109885721926955,0.00985039539394678,-0.173359925044794,0,0.221619323470448,9,-97.1503833578387,213.788370021462,6.0568317029593,0.00455535772010055
"179",0.321274929900484,0,0.530006698963312,0,0,0.00537988740938217,-0.173738171597004,0,0.220833165083431,8,-98.4634998857143,214.107327640281,6.37578932177786,0.00388384348297085
"187",0.339084287271099,0,0.319216766867575,0,0.096388428098699,0.00656046507170754,-0.172839591876447,0,0.219054827914207,9,-97.3362579632821,214.160119232349,6.42858091384613,0.00378266752687612
"256",0.363239160075318,0.117057787928005,0.39662829747313,0.100898258020037,0.0834405480183619,-0.0375430071009111,-0.173459331528795,0.0362077356008013,0.234310617349082,12,-93.76649128764,214.17705037189,6.44551205338698,0.00375078025341373
"249",0.420497790860861,0,0,0,0.115134027882688,0.00859272891193828,-0.172412161415099,0.0394922209663438,0.246290958132255,9,-97.3460154470427,214.179634199871,6.44809588136741,0.00374593769668705
"226",0.431711431767369,0.0948231090047318,0,0,0,0,-0.176375085580952,0.0273433793948829,0.241391791651535,8,-98.6460793877009,214.472486644254,6.74094832575099,0.00323570149450968
"178",0.409096605653497,0.102256220500952,0,0,0,0.011052433460693,-0.175943799810781,0,0.22396498876695,8,-98.7533606806249,214.687049230102,6.95551091159908,0.00290654315792437
