"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","site.size","substrate","df","logLik","AICc","delta","weight"
"120",-0.954901484603568,0.165414898570793,1.0577576422263,0.103445417176269,0,-0.0673789467951919,-0.0342880402170509,0.0213572575560719,0,0,10,-39.0576662093812,99.9335142369441,5.47861175340503,0.0014104823795846
"169",-0.463627249376393,0,0,0,-0.0856957221132105,0,-0.0287680008077768,0,0.151647412359872,0,7,-42.5171989036032,99.937623613658,5.48272113011885,0.00140758725317145
"146",-0.467960654400934,0.123017942316659,0,0,0,-0.0112694578975782,0,0,0.119240653267863,0,7,-42.5203600713017,99.9439459490551,5.48904346551598,0.00140314465940533
"484",-0.873281875924615,0.129700724267837,0.944548652038369,0,0,0,-0.0219173956645888,0.104086890625835,0.0623164556514332,0.116638049077555,10,-39.0654056058519,99.9489930298856,5.49409054634653,0.00139960823118535
"181",-0.422810265345668,0,0,0.0847500861619154,0,-0.0585074076292256,-0.0319109819360938,0,0.106635310398122,0,8,-41.3899528949455,99.950637497208,5.49573501366889,0.00139845789917086
"86",-0.419013777510464,0.157984825646522,0,0.101020141249524,0,-0.0493731247425726,0,0.0204863184028061,0,0,8,-41.3949427607619,99.9606172288409,5.50571474530174,0.00139149716291683
"174",-0.468940118621878,0.146115764934349,0,0.0823111995411838,-0.0903652741272552,0,-0.0264137915782912,0,0.113525791760271,0,9,-40.2555578231172,99.9865254822999,5.53162299876081,0.00137358778295958
"479",-0.888506374821549,0,1.06732857635505,0.0770082511781223,-0.0979811695947802,-0.0474430709131239,0,0.0996724067565362,0.089659099753705,0.100712866394541,11,-37.8948378644935,99.9896757289871,5.53477324544794,0.00137142591582887
"417",-0.444753533541254,0,0,0,0,0,-0.0280391459602836,0,0.116910353639179,0.0450735909696168,7,-42.5448608820652,99.9929475705819,5.53804508704282,0.00136918420578101
"419",-0.87304490825098,0,0.834150304239133,0,0,0,-0.0278079362963313,0,0.0908924942207068,0.0454649055045584,8,-41.4169668362708,100.004665379859,5.54976289631955,0.00136118574009095
"289",-0.423652368359474,0,0,0,0,0,-0.0350041154922303,0,0,0.0557641834237142,6,-43.6663581252433,100.004716250487,5.54981376694754,0.00136115111834456
