"","Region","Reef","Genus","Species","Phase","TL","Bites","min","sec","time","Bite.rate","dataset","sp","UVC"
"149","KAUST",NA,"Scarus","niger","IP",13,114,4,4,"04:04",28.03,"redsea","Scarus niger","TRUE"
"150","KAUST",NA,"Scarus","niger","IP",16,109,3,1,"03:01",36.13,"redsea","Scarus niger","TRUE"
"151","KAUST",NA,"Scarus","niger","IP",14,87,3,38,"03:38",23.94,"redsea","Scarus niger","TRUE"
"152","KAUST",NA,"Scarus","niger","IP",20,50,3,23,"03:23",14.78,"redsea","Scarus niger","TRUE"
"153","KAUST",NA,"Scarus","niger","TP",27,32,3,0,"03:00",10.67,"redsea","Scarus niger","TRUE"
"154","KAUST",NA,"Scarus","niger","IP",17,78,3,12,"03:12",24.38,"redsea","Scarus niger","TRUE"
"155","KAUST",NA,"Scarus","niger","IP",19,108,3,21,"03:21",32.24,"redsea","Scarus niger","TRUE"
"156","KAUST",NA,"Scarus","niger","IP",22,74,3,3,"03:03",24.26,"redsea","Scarus niger","TRUE"
"157","KAUST",NA,"Scarus","niger","IP",20,98,3,0,"03:00",32.67,"redsea","Scarus niger","TRUE"
"158","KAUST",NA,"Scarus","niger","IP",22,93,3,4,"03:04",30.33,"redsea","Scarus niger","TRUE"
"159","KAUST",NA,"Scarus","niger","TP",26,96,3,5,"03:05",31.14,"redsea","Scarus niger","TRUE"
"160","KAUST",NA,"Scarus","niger","TP",29,63,3,0,"03:00",21,"redsea","Scarus niger","TRUE"
"161","KAUST",NA,"Scarus","psittacus","TP",21,72,3,9,"03:09",22.86,"redsea","Scarus psittacus","TRUE"
"162","KAUST",NA,"Scarus","psittacus","IP",14,129,3,29,"03:29",37.03,"redsea","Scarus psittacus","TRUE"
"163","KAUST",NA,"Scarus","psittacus","TP",19,84,3,4,"03:04",27.39,"redsea","Scarus psittacus","TRUE"
"164","KAUST",NA,"Scarus","psittacus","TP",19,52,3,10,"03:10",16.42,"redsea","Scarus psittacus","TRUE"
"165","KAUST",NA,"Scarus","psittacus","TP",19,59,3,10,"03:10",18.63,"redsea","Scarus psittacus","TRUE"
"166","KAUST",NA,"Scarus","psittacus","TP",17,14,3,7,"03:07",4.49,"redsea","Scarus psittacus","TRUE"
"167","KAUST",NA,"Scarus","psittacus","TP",19,29,3,2,"03:02",9.56,"redsea","Scarus psittacus","TRUE"
"168","KAUST",NA,"Scarus","psittacus","TP",20,42,4,1,"04:01",10.46,"redsea","Scarus psittacus","TRUE"
"169","KAUST",NA,"Scarus","psittacus","TP",20,55,3,8,"03:08",17.55,"redsea","Scarus psittacus","TRUE"
"170","KAUST",NA,"Scarus","psittacus","TP",21,76,3,16,"03:16",23.27,"redsea","Scarus psittacus","TRUE"
"171","KAUST",NA,"Scarus","psittacus","IP",17,114,3,8,"03:08",36.38,"redsea","Scarus psittacus","TRUE"
"172","KAUST",NA,"Scarus","psittacus","IP",14,129,3,7,"03:07",41.39,"redsea","Scarus psittacus","TRUE"
"173","KAUST",NA,"Scarus","psittacus","IP",13,138,3,4,"03:04",45,"redsea","Scarus psittacus","TRUE"
"174","KAUST",NA,"Scarus","psittacus","",12,127,3,1,"03:01",42.1,"redsea","Scarus psittacus","TRUE"
"175","KAUST",NA,"Scarus","psittacus","",19,78,3,8,"03:08",24.89,"redsea","Scarus psittacus","TRUE"
"176","KAUST",NA,"Scarus","psittacus","",19,113,4,2,"04:02",28.02,"redsea","Scarus psittacus","TRUE"
"177","KAUST",NA,"Scarus","psittacus","",18,101,3,59,"03:59",25.36,"redsea","Scarus psittacus","TRUE"
"178","KAUST",NA,"Scarus","psittacus","",20,81,3,12,"03:12",25.31,"redsea","Scarus psittacus","TRUE"
"179","KAUST",NA,"Scarus","psittacus","",15,64,3,7,"03:07",20.53,"redsea","Scarus psittacus","TRUE"
"180","KAUST",NA,"Scarus","psittacus","",16,83,3,6,"03:06",26.77,"redsea","Scarus psittacus","TRUE"
