Date,Site,Observer,Temperature,Species,Size,Grp_Size,Mixed_Grp,Start_Time,End_Time,Time,minutes ,seconds ,minutes*60,add_to_ seconds ,total_divided_by_60 ,Total_Bites ,Bites_per_minute,Trial_Time,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,17,1,N,11:48:30,11:51:30,0:03:00,3,0,180,180,3,30,10,3,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,20,1,N,11:52:00,11:55:00,0:03:00,3,0,180,180,3,67,22.33333333,3,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,23,1,N,12:02:35,12:05:30,0:02:55,2,55,120,175,2.916666667,41,14.05714286,2.916666667,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,20,1,N,12:33:27,12:36:30,0:03:03,3,3,180,183,3.05,72,23.60655738,3.05,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,16,2,N,12:37:00,12:39:30,0:02:30,2,30,120,150,2.5,69,27.6,2.5,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,18,1,N,10:36:15,10:38:06,0:01:51,1,51,60,111,1.85,15,8.108108108,1.85,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,27,1,N,14:10:55,14:13:55,0:03:00,3,0,180,180,3,81,27,3,,
29/10/2016,Macs_Reef,ECM,27,Acanthurus_dussumieri,27,1,N,15:07:00,15:10:00,0:03:00,3,0,180,180,3,86,28.66666667,3,,
29/10/2016,Macs_Reef,Zoe,26,Acanthurus_dussumieri,30,1,N,15:15:00,15:18:00,0:03:00,3,0,180,180,3,63,21,3,,
29/10/2016,Macs_Reef,Zoe,26,Acanthurus_dussumieri,28,1,N,15:18:00,15:21:00,0:03:00,3,0,180,180,3,53,17.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,13:58:00,14:01:00,0:03:00,3,0,180,180,3,115,38.33333333,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,14:05:00,14:08:00,0:03:00,3,0,180,180,3,93,31,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,25,1,N,14:35:00,14:36:09,0:01:09,1,9,60,69,1.15,30,26.08695652,1.15,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,10:19:00,10:20:00,0:01:00,1,0,60,60,1,11,11,1,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,18,1,N,10:21:00,10:24:00,0:03:00,3,0,180,180,3,63,21,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,10:28:00,10:31:00,0:03:00,3,0,180,180,3,97,32.33333333,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,21,3,N,10:43:00,10:47:00,0:04:00,4,0,240,240,4,129,32.25,4,,
