Region,Reef,Species,Phase,TL,Bites,min,sec,time,TL,bite rate
GBR,Lizard,S. dimidiatus,TP,27,91,,256,00:04:16,27,21.328125
GBR,Lizard,S. dimidiatus,IP,13,105,3,46,00:03:46,13,27.87610619
GBR,Lizard,S. dimidiatus,IP,23,75,3,3,00:03:03,23,24.59016393
GBR,Lizard,S. dimidiatus,TP,26,43,3,3,00:03:03,26,14.09836066
GBR,Lizard,S. dimidiatus,TP,27,70,3,0,00:03:00,27,23.33333333
GBR,Lizard,S. dimidiatus,IP,17,71,3,3,00:03:03,17,23.27868852
GBR,Lizard,S. dimidiatus,TP,18,93,3,1,00:03:01,18,30.82872928
GBR,Lizard,S. dimidiatus,TP,20,99,3,3,00:03:03,20,32.45901639
GBR,Lizard,S. dimidiatus,TP,25,48,3,9,00:03:09,25,15.23809524
GBR,Lizard,S. dimidiatus,TP,23,72,3,3,00:03:03,23,23.60655738
GBR,Lizard,S. dimidiatus,IP,17,129,3,4,00:03:04,17,42.06521739
GBR,Lizard,S. dimidiatus,TP,28,76,3,2,00:03:02,28,25.05494505
GBR,Lizard,S. dimidiatus,TP,28,71,3,9,00:03:09,28,22.53968254
GBR,Lizard,S. dimidiatus,TP,25,86,3,8,00:03:08,25,27.44680851
GBR,Lizard,S. dimidiatus,IP,21,95,3,9,00:03:09,21,30.15873016
GBR,Lizard,S. dimidiatus,IP,22,97,3,22,00:03:22,22,28.81188119
GBR,Lizard,S. dimidiatus,IP,13,93,3,2,00:03:02,13,30.65934066
GBR,Lizard,S. dimidiatus,IP,24,113,3,1,00:03:01,24,37.45856354
GBR,Lizard,S. dimidiatus,IP,17,54,3,9,00:03:09,17,17.14285714
GBR,Lizard,S. flavipectoralis,IP,23,67,3,1,00:03:01,23,22.20994475
GBR,Lizard,S. flavipectoralis,TP,29,81,3,8,00:03:08,29,25.85106383
GBR,Lizard,S. flavipectoralis,IP,20,68,3,2,00:03:02,20,22.41758242
GBR,Lizard,S. flavipectoralis,IP,18,58,3,19,00:03:19,18,17.48743719
GBR,Lizard,S. flavipectoralis,TP,23,80,3,17,00:03:17,23,24.36548223
GBR,Lizard,S. flavipectoralis,TP,25,62,3,22,00:03:22,25,18.41584158
GBR,Lizard,S. flavipectoralis,IP,17,58,3,12,00:03:12,17,18.125
GBR,Lizard,S. flavipectoralis,IP,23,58,3,10,00:03:10,23,18.31578947
GBR,Lizard,S. flavipectoralis,IP,24,64,3,9,00:03:09,24,20.31746032
GBR,Lizard,S. flavipectoralis,TP,29,68,3,49,00:03:49,29,17.81659389
GBR,Lizard,S. flavipectoralis,IP,10,2,3,0,00:03:00,10,0.666666667
GBR,Lizard,S. flavipectoralis,IP,15,44,3,0,00:03:00,15,14.66666667
GBR,Lizard,S. flavipectoralis,IP,15,33,3,0,00:03:00,15,11
GBR,Lizard,S. flavipectoralis,IP,10,22,3,0,00:03:00,10,7.333333333
GBR,Lizard,S. flavipectoralis,TP,24,66,3,0,00:03:00,24,22
GBR,Lizard,S. flavipectoralis,IP,22,68,3,4,00:03:04,22,22.17391304
GBR,Lizard,S. flavipectoralis,IP,17,21,3,9,00:03:09,17,6.666666667
GBR,Lizard,S. flavipectoralis,IP,13,24,3,7,00:03:07,13,7.700534759
GBR,Lizard,S. flavipectoralis,IP,20,49,3,17,00:03:17,20,14.92385787
GBR,Lizard,S. flavipectoralis,IP,24,93,3,20,00:03:20,24,27.9
GBR,Lizard,S. flavipectoralis,IP,10,17,3,4,00:03:04,10,5.543478261
GBR,Lizard,S. flavipectoralis,IP,20,24,3,4,00:03:04,20,7.826086957
GBR,Lizard,S. flavipectoralis,IP,20,78,3,4,00:03:04,20,25.43478261
GBR,Lizard,S. flavipectoralis,TP,22,63,3,20,00:03:20,22,18.9
GBR,Lizard,S. flavipectoralis,IP,24,67,3,1,00:03:01,24,22.20994475
GBR,Lizard,S. flavipectoralis,IP,20,78,3,17,00:03:17,20,23.75634518
GBR,Lizard,S. flavipectoralis,IP,22,56,3,11,00:03:11,22,17.59162304
GBR,Lizard,S. flavipectoralis,IP,18,42,3,7,00:03:07,18,13.47593583
GBR,Lizard,S. flavipectoralis,IP,15,55,3,20,00:03:20,15,16.5
GBR,Lizard,S. flavipectoralis,IP,10,20,3,0,00:03:00,10,6.666666667
GBR,Lizard,S. flavipectoralis,IP,20,41,3,1,00:03:01,20,13.59116022
GBR,Lizard,S. flavipectoralis,TP,25,44,3,9,00:03:09,25,13.96825397
GBR,Lizard,S. forsteni,IP,14,108,,210,00:03:30,14,30.85714286
GBR,Lizard,S. forsteni,IP,15,104,,191,00:03:11,15,32.67015707
GBR,Lizard,S. forsteni,IP,15,92,,189,00:03:09,15,29.20634921
GBR,Lizard,S. forsteni,IP,16,91,,241,00:04:01,16,22.65560166
GBR,Lizard,S. forsteni,IP,18,79,,182,00:03:02,18,26.04395604
GBR,Lizard,S. forsteni,IP,17,112,,276,00:04:36,17,24.34782609
GBR,Lizard,S. forsteni,IP,19,83,,190,00:03:10,19,26.21052632
GBR,Lizard,S. forsteni,IP,20,112,,300,00:05:00,20,22.4
GBR,Lizard,S. forsteni,IP,20,93,,300,00:05:00,20,18.6
GBR,Lizard,S. forsteni,IP,20,71,,196,00:03:16,20,21.73469388
GBR,Lizard,S. forsteni,IP,21,107,,300,00:05:00,21,21.4
GBR,Lizard,S. forsteni,IP,23,56,,211,00:03:31,23,15.92417062
GBR,Lizard,S. forsteni,IP,23,104,,300,00:05:00,23,20.8
GBR,Lizard,S. forsteni,IP,26,73,,213,00:03:33,26,20.56338028
GBR,Lizard,S. forsteni,IP,28,86,,300,00:05:00,28,17.2
GBR,Lizard,S. forsteni,IP,32,69,,186,00:03:06,32,22.25806452
GBR,Lizard,S. forsteni,TP,31,71,,195,00:03:15,31,21.84615385
GBR,Lizard,S. forsteni,TP,32,29,,120,00:02:00,32,14.5
GBR,Lizard,S. forsteni,TP,34,70,,180,00:03:00,34,23.33333333
GBR,Lizard,S. forsteni,TP,38,67,,222,00:03:42,38,18.10810811
GBR,Lizard,S. forsteni,IP,29,43,3,5,00:03:05,29,13.94594595
GBR,Lizard,S. forsteni,IP,23,64,3,2,00:03:02,23,21.0989011
GBR,Lizard,S. forsteni,TP,32,25,3,1,00:03:01,32,8.287292818
GBR,Lizard,S. forsteni,IP,25,62,3,0,00:03:00,25,20.66666667
GBR,Lizard,S. forsteni,IP,32,45,3,20,00:03:20,32,13.5
GBR,Lizard,S. forsteni,IP,27,57,3,20,00:03:20,27,17.1
GBR,Lizard,S. forsteni,IP,20,55,3,0,00:03:00,20,18.33333333
GBR,Lizard,S. forsteni,IP,22,69,3,0,00:03:00,22,23
GBR,Lizard,S. forsteni,IP,16,67,3,11,00:03:11,16,21.04712042
GBR,Lizard,S. forsteni,IP,18,55,3,21,00:03:21,18,16.41791045
GBR,Lizard,S. frenatus,IP,15,109,3,12,00:03:12,15,34.0625
GBR,Lizard,S. frenatus,IP,16,122,3,35,00:03:35,16,34.04651163
GBR,Lizard,S. frenatus,IP,19,105,3,15,00:03:15,19,32.30769231
GBR,Lizard,S. frenatus,IP,19,76,3,11,00:03:11,19,23.87434555
GBR,Lizard,S. frenatus,IP,20,97,4,36,00:04:36,20,21.08695652
GBR,Lizard,S. frenatus,IP,20,112,4,12,00:04:12,20,26.66666667
GBR,Lizard,S. frenatus,IP,20,88,3,4,00:03:04,20,28.69565217
GBR,Lizard,S. frenatus,IP,20,123,3,47,00:03:47,20,32.51101322
GBR,Lizard,S. frenatus,IP,22,94,4,9,00:04:09,22,22.65060241
GBR,Lizard,S. frenatus,IP,22,116,4,28,00:04:28,22,25.97014925
GBR,Lizard,S. frenatus,IP,22,66,3,5,00:03:05,22,21.40540541
