Region,Reef,Water temp,Species,Phase,TL,Bites,min,sec,time,bite rate (bites/min)
Aceh,P Weh,28,S. viridifucatus,,21,165,3,11,00:03:11,51.83246073
Aceh,P Weh,28,S. viridifucatus,,24,149,3,23,00:03:23,44.03940887
Aceh,P Weh,28,S. viridifucatus,,25,117,3,12,00:03:12,36.5625
Aceh,P Weh,28,S. viridifucatus,,21,134,3,8,00:03:08,42.76595745
Aceh,P Weh,28,S. viridifucatus,,13,166,3,4,00:03:04,54.13043478
Aceh,P Weh,28,S. viridifucatus,,23,171,3,7,00:03:07,54.86631016
Aceh,P Weh,28,S. viridifucatus,,22,182,3,6,00:03:06,58.70967742
Aceh,P Weh,28,S. viridifucatus,,22,138,3,0,00:03:00,46
Aceh,P Weh,28,S. viridifucatus,,19,153,3,1,00:03:01,50.71823204
Aceh,P Weh,28,S. viridifucatus,,26,116,3,0,00:03:00,38.66666667
Aceh,P Weh,28,S. viridifucatus,,15,130,3,0,00:03:00,43.33333333
Aceh,P Weh,28,S. viridifucatus,,15,165,3,2,00:03:02,54.3956044
Aceh,P Weh,28,S. viridifucatus,,17,143,3,4,00:03:04,46.63043478
Aceh,P Weh,28,S. viridifucatus,,20,181,3,3,00:03:03,59.3442623
Aceh,P Weh,28,S. viridifucatus,,16,177,3,34,00:03:34,49.62616822
Aceh,P Weh,28,S. viridifucatus,,24,158,3,8,00:03:08,50.42553191
Aceh,P Weh,28,S. viridifucatus,,23,136,3,9,00:03:09,43.17460317
Aceh,P Weh,28,S. viridifucatus,,14,129,3,1,00:03:01,42.76243094
Aceh,P Weh,28,S. viridifucatus,,18,203,3,18,00:03:18,61.51515152
Aceh,P Weh,28,S. viridifucatus,,26,124,3,14,00:03:14,38.35051546
Aceh,P Weh,28,S. viridifucatus,,22,160,3,0,00:03:00,53.33333333
,,,,,,,,,,
